Series_Title,Released_Year,Genre_Id
The Shawshank Redemption,1994,0
The Godfather,1972,1
The Godfather,1972,0
The Dark Knight,2008,2
The Dark Knight,2008,1
The Dark Knight,2008,0
The Godfather: Part II,1974,1
The Godfather: Part II,1974,0
12 Angry Men,1957,1
12 Angry Men,1957,0
The Lord of the Rings: The Return of the King,2003,2
The Lord of the Rings: The Return of the King,2003,3
The Lord of the Rings: The Return of the King,2003,0
Pulp Fiction,1994,1
Pulp Fiction,1994,0
Schindler's List,1993,4
Schindler's List,1993,0
Schindler's List,1993,5
Inception,2010,2
Inception,2010,3
Inception,2010,6
Fight Club,1999,0
The Lord of the Rings: The Fellowship of the Ring,2001,2
The Lord of the Rings: The Fellowship of the Ring,2001,3
The Lord of the Rings: The Fellowship of the Ring,2001,0
Forrest Gump,1994,0
Forrest Gump,1994,7
"Il buono, il brutto, il cattivo",1966,8
The Lord of the Rings: The Two Towers,2002,2
The Lord of the Rings: The Two Towers,2002,3
The Lord of the Rings: The Two Towers,2002,0
The Matrix,1999,2
The Matrix,1999,6
Goodfellas,1990,4
Goodfellas,1990,1
Goodfellas,1990,0
Star Wars: Episode V - The Empire Strikes Back,1980,2
Star Wars: Episode V - The Empire Strikes Back,1980,3
Star Wars: Episode V - The Empire Strikes Back,1980,9
One Flew Over the Cuckoo's Nest,1975,0
Hamilton,2020,4
Hamilton,2020,0
Hamilton,2020,5
Gisaengchung,2019,10
Gisaengchung,2019,0
Gisaengchung,2019,11
Soorarai Pottru,2020,0
Interstellar,2014,3
Interstellar,2014,0
Interstellar,2014,6
Cidade de Deus,2002,1
Cidade de Deus,2002,0
Sen to Chihiro no kamikakushi,2001,12
Sen to Chihiro no kamikakushi,2001,3
Sen to Chihiro no kamikakushi,2001,13
Saving Private Ryan,1998,0
Saving Private Ryan,1998,14
The Green Mile,1999,1
The Green Mile,1999,0
The Green Mile,1999,9
La vita è bella,1997,10
La vita è bella,1997,0
La vita è bella,1997,7
Se7en,1995,1
Se7en,1995,0
Se7en,1995,15
The Silence of the Lambs,1991,1
The Silence of the Lambs,1991,0
The Silence of the Lambs,1991,11
Star Wars,1977,2
Star Wars,1977,3
Star Wars,1977,9
Seppuku,1962,2
Seppuku,1962,0
Seppuku,1962,15
Shichinin no samurai,1954,2
Shichinin no samurai,1954,3
Shichinin no samurai,1954,0
It's a Wonderful Life,1946,0
It's a Wonderful Life,1946,13
It's a Wonderful Life,1946,9
Joker,2019,1
Joker,2019,0
Joker,2019,11
Whiplash,2014,0
Whiplash,2014,16
The Intouchables,2011,4
The Intouchables,2011,10
The Intouchables,2011,0
The Prestige,2006,0
The Prestige,2006,15
The Prestige,2006,6
The Departed,2006,1
The Departed,2006,0
The Departed,2006,11
The Pianist,2002,4
The Pianist,2002,0
The Pianist,2002,16
Gladiator,2000,2
Gladiator,2000,3
Gladiator,2000,0
American History X,1998,0
The Usual Suspects,1995,1
The Usual Suspects,1995,15
The Usual Suspects,1995,11
Léon,1994,2
Léon,1994,1
Léon,1994,0
The Lion King,1994,12
The Lion King,1994,3
The Lion King,1994,0
Terminator 2: Judgment Day,1991,2
Terminator 2: Judgment Day,1991,6
Nuovo Cinema Paradiso,1988,0
Nuovo Cinema Paradiso,1988,7
Hotaru no haka,1988,12
Hotaru no haka,1988,0
Hotaru no haka,1988,14
Back to the Future,1985,3
Back to the Future,1985,10
Back to the Future,1985,6
Once Upon a Time in the West,1968,8
Psycho,1960,17
Psycho,1960,15
Psycho,1960,11
Casablanca,1942,0
Casablanca,1942,7
Casablanca,1942,14
Modern Times,1936,10
Modern Times,1936,0
Modern Times,1936,13
City Lights,1931,10
City Lights,1931,0
City Lights,1931,7
Capharnaüm,2018,0
Ayla: The Daughter of War,2017,4
Ayla: The Daughter of War,2017,0
Ayla: The Daughter of War,2017,5
Vikram Vedha,2017,2
Vikram Vedha,2017,1
Vikram Vedha,2017,0
Kimi no na wa.,2016,12
Kimi no na wa.,2016,0
Kimi no na wa.,2016,9
Dangal,2016,2
Dangal,2016,4
Dangal,2016,0
Spider-Man: Into the Spider-Verse,2018,12
Spider-Man: Into the Spider-Verse,2018,2
Spider-Man: Into the Spider-Verse,2018,3
Avengers: Endgame,2019,2
Avengers: Endgame,2019,3
Avengers: Endgame,2019,0
Avengers: Infinity War,2018,2
Avengers: Infinity War,2018,3
Avengers: Infinity War,2018,6
Coco,2017,12
Coco,2017,3
Coco,2017,13
Django Unchained,2012,0
Django Unchained,2012,8
The Dark Knight Rises,2012,2
The Dark Knight Rises,2012,3
3 Idiots,2009,10
3 Idiots,2009,0
Taare Zameen Par,2007,0
Taare Zameen Par,2007,13
WALL·E,2008,12
WALL·E,2008,3
WALL·E,2008,13
The Lives of Others,2006,0
The Lives of Others,2006,15
The Lives of Others,2006,11
Oldeuboi,2003,2
Oldeuboi,2003,0
Oldeuboi,2003,15
Memento,2000,15
Memento,2000,11
Mononoke-hime,1997,12
Mononoke-hime,1997,2
Mononoke-hime,1997,3
Once Upon a Time in America,1984,1
Once Upon a Time in America,1984,0
Raiders of the Lost Ark,1981,2
Raiders of the Lost Ark,1981,3
The Shining,1980,0
The Shining,1980,17
Apocalypse Now,1979,0
Apocalypse Now,1979,15
Apocalypse Now,1979,14
Alien,1979,17
Alien,1979,6
Anand,1971,0
Anand,1971,18
Tengoku to jigoku,1963,1
Tengoku to jigoku,1963,0
Tengoku to jigoku,1963,15
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,10
Witness for the Prosecution,1957,1
Witness for the Prosecution,1957,0
Witness for the Prosecution,1957,15
Paths of Glory,1957,0
Paths of Glory,1957,14
Rear Window,1954,15
Rear Window,1954,11
Sunset Blvd.,1950,0
Sunset Blvd.,1950,19
The Great Dictator,1940,10
The Great Dictator,1940,0
The Great Dictator,1940,14
1917,2019,0
1917,2019,11
1917,2019,14
Tumbbad,2018,0
Tumbbad,2018,9
Tumbbad,2018,17
Andhadhun,2018,1
Andhadhun,2018,0
Andhadhun,2018,16
Drishyam,2013,1
Drishyam,2013,0
Drishyam,2013,11
Jagten,2012,0
Jodaeiye Nader az Simin,2011,0
Incendies,2010,0
Incendies,2010,15
Incendies,2010,14
Miracle in cell NO.7,2019,0
Babam ve Oglum,2005,0
Babam ve Oglum,2005,13
Inglourious Basterds,2009,3
Inglourious Basterds,2009,0
Inglourious Basterds,2009,14
Eternal Sunshine of the Spotless Mind,2004,0
Eternal Sunshine of the Spotless Mind,2004,7
Eternal Sunshine of the Spotless Mind,2004,6
Amélie,2001,10
Amélie,2001,7
Snatch,2000,10
Snatch,2000,1
Requiem for a Dream,2000,0
American Beauty,1999,0
Good Will Hunting,1997,0
Good Will Hunting,1997,7
Bacheha-Ye aseman,1997,0
Bacheha-Ye aseman,1997,13
Bacheha-Ye aseman,1997,20
Toy Story,1995,12
Toy Story,1995,3
Toy Story,1995,10
Braveheart,1995,4
Braveheart,1995,0
Braveheart,1995,5
Reservoir Dogs,1992,1
Reservoir Dogs,1992,0
Reservoir Dogs,1992,11
Full Metal Jacket,1987,0
Full Metal Jacket,1987,14
Idi i smotri,1985,0
Idi i smotri,1985,11
Idi i smotri,1985,14
Aliens,1986,2
Aliens,1986,3
Aliens,1986,6
Amadeus,1984,4
Amadeus,1984,0
Amadeus,1984,5
Scarface,1983,1
Scarface,1983,0
Star Wars: Episode VI - Return of the Jedi,1983,2
Star Wars: Episode VI - Return of the Jedi,1983,3
Star Wars: Episode VI - Return of the Jedi,1983,9
Das Boot,1981,3
Das Boot,1981,0
Das Boot,1981,11
Taxi Driver,1976,1
Taxi Driver,1976,0
The Sting,1973,10
The Sting,1973,1
The Sting,1973,0
A Clockwork Orange,1971,1
A Clockwork Orange,1971,0
A Clockwork Orange,1971,6
2001: A Space Odyssey,1968,3
2001: A Space Odyssey,1968,6
Per qualche dollaro in più,1965,8
Lawrence of Arabia,1962,3
Lawrence of Arabia,1962,4
Lawrence of Arabia,1962,0
The Apartment,1960,10
The Apartment,1960,0
The Apartment,1960,7
North by Northwest,1959,3
North by Northwest,1959,15
North by Northwest,1959,11
Vertigo,1958,15
Vertigo,1958,7
Vertigo,1958,11
Singin' in the Rain,1952,10
Singin' in the Rain,1952,18
Singin' in the Rain,1952,7
Ikiru,1952,0
Ladri di biciclette,1948,0
Double Indemnity,1944,1
Double Indemnity,1944,0
Double Indemnity,1944,19
Citizen Kane,1941,0
Citizen Kane,1941,15
M - Eine Stadt sucht einen Mörder,1931,1
M - Eine Stadt sucht einen Mörder,1931,15
M - Eine Stadt sucht einen Mörder,1931,11
Metropolis,1927,0
Metropolis,1927,6
The Kid,1921,10
The Kid,1921,0
The Kid,1921,13
Chhichhore,2019,10
Chhichhore,2019,0
Uri: The Surgical Strike,2018,2
Uri: The Surgical Strike,2018,0
Uri: The Surgical Strike,2018,14
K.G.F: Chapter 1,2018,2
K.G.F: Chapter 1,2018,0
Green Book,2018,4
Green Book,2018,10
Green Book,2018,0
"Three Billboards Outside Ebbing, Missouri",2017,10
"Three Billboards Outside Ebbing, Missouri",2017,1
"Three Billboards Outside Ebbing, Missouri",2017,0
Talvar,2015,1
Talvar,2015,0
Talvar,2015,15
Baahubali 2: The Conclusion,2017,2
Baahubali 2: The Conclusion,2017,0
Klaus,2019,12
Klaus,2019,3
Klaus,2019,10
Drishyam,2015,1
Drishyam,2015,0
Drishyam,2015,15
Queen,2013,3
Queen,2013,10
Queen,2013,0
Mandariinid,2013,0
Mandariinid,2013,14
Bhaag Milkha Bhaag,2013,4
Bhaag Milkha Bhaag,2013,0
Bhaag Milkha Bhaag,2013,20
Gangs of Wasseypur,2012,2
Gangs of Wasseypur,2012,10
Gangs of Wasseypur,2012,1
Udaan,2010,0
Paan Singh Tomar,2012,2
Paan Singh Tomar,2012,4
Paan Singh Tomar,2012,1
El secreto de sus ojos,2009,0
El secreto de sus ojos,2009,15
El secreto de sus ojos,2009,7
Warrior,2011,2
Warrior,2011,0
Warrior,2011,20
Shutter Island,2010,15
Shutter Island,2010,11
Up,2009,12
Up,2009,3
Up,2009,10
The Wolf of Wall Street,2013,4
The Wolf of Wall Street,2013,1
The Wolf of Wall Street,2013,0
Chak De! India,2007,0
Chak De! India,2007,13
Chak De! India,2007,20
There Will Be Blood,2007,0
Pan's Labyrinth,2006,0
Pan's Labyrinth,2006,9
Pan's Labyrinth,2006,14
Toy Story 3,2010,12
Toy Story 3,2010,3
Toy Story 3,2010,10
V for Vendetta,2005,2
V for Vendetta,2005,0
V for Vendetta,2005,6
Rang De Basanti,2006,10
Rang De Basanti,2006,1
Rang De Basanti,2006,0
Black,2005,0
Batman Begins,2005,2
Batman Begins,2005,3
"Swades: We, the People",2004,0
Der Untergang,2004,4
Der Untergang,2004,0
Der Untergang,2004,5
Hauru no ugoku shiro,2004,12
Hauru no ugoku shiro,2004,3
Hauru no ugoku shiro,2004,13
A Beautiful Mind,2001,4
A Beautiful Mind,2001,0
Hera Pheri,2000,2
Hera Pheri,2000,10
Hera Pheri,2000,1
"Lock, Stock and Two Smoking Barrels",1998,2
"Lock, Stock and Two Smoking Barrels",1998,10
"Lock, Stock and Two Smoking Barrels",1998,1
L.A. Confidential,1997,1
L.A. Confidential,1997,0
L.A. Confidential,1997,15
Eskiya,1996,1
Eskiya,1996,0
Eskiya,1996,11
Heat,1995,1
Heat,1995,0
Heat,1995,11
Casino,1995,1
Casino,1995,0
Andaz Apna Apna,1994,2
Andaz Apna Apna,1994,10
Andaz Apna Apna,1994,7
Unforgiven,1992,0
Unforgiven,1992,8
Indiana Jones and the Last Crusade,1989,2
Indiana Jones and the Last Crusade,1989,3
Dom za vesanje,1988,10
Dom za vesanje,1988,1
Dom za vesanje,1988,0
Tonari no Totoro,1988,12
Tonari no Totoro,1988,13
Tonari no Totoro,1988,9
Die Hard,1988,2
Die Hard,1988,11
Ran,1985,2
Ran,1985,0
Ran,1985,14
Raging Bull,1980,4
Raging Bull,1980,0
Raging Bull,1980,20
Stalker,1979,0
Stalker,1979,6
Höstsonaten,1978,0
Höstsonaten,1978,16
The Message,1976,4
The Message,1976,0
The Message,1976,5
Sholay,1975,2
Sholay,1975,3
Sholay,1975,10
Monty Python and the Holy Grail,1975,3
Monty Python and the Holy Grail,1975,10
Monty Python and the Holy Grail,1975,9
The Great Escape,1963,3
The Great Escape,1963,0
The Great Escape,1963,5
To Kill a Mockingbird,1962,1
To Kill a Mockingbird,1962,0
Yôjinbô,1961,2
Yôjinbô,1961,0
Yôjinbô,1961,11
Judgment at Nuremberg,1961,0
Judgment at Nuremberg,1961,14
Some Like It Hot,1959,10
Some Like It Hot,1959,16
Some Like It Hot,1959,7
Smultronstället,1957,0
Smultronstället,1957,7
Det sjunde inseglet,1957,0
Det sjunde inseglet,1957,9
Det sjunde inseglet,1957,5
Du rififi chez les hommes,1955,1
Du rififi chez les hommes,1955,0
Du rififi chez les hommes,1955,11
Dial M for Murder,1954,1
Dial M for Murder,1954,11
Tôkyô monogatari,1953,0
Rashômon,1950,1
Rashômon,1950,0
Rashômon,1950,15
All About Eve,1950,0
The Treasure of the Sierra Madre,1948,3
The Treasure of the Sierra Madre,1948,0
The Treasure of the Sierra Madre,1948,8
To Be or Not to Be,1942,10
To Be or Not to Be,1942,14
The Gold Rush,1925,3
The Gold Rush,1925,10
The Gold Rush,1925,0
Sherlock Jr.,1924,2
Sherlock Jr.,1924,10
Sherlock Jr.,1924,7
Portrait de la jeune fille en feu,2019,0
Portrait de la jeune fille en feu,2019,7
Pink,2016,0
Pink,2016,11
Koe no katachi,2016,12
Koe no katachi,2016,0
Koe no katachi,2016,13
Contratiempo,2016,1
Contratiempo,2016,0
Contratiempo,2016,15
Ah-ga-ssi,2016,0
Ah-ga-ssi,2016,7
Ah-ga-ssi,2016,11
Mommy,2014,0
Haider,2014,2
Haider,2014,1
Haider,2014,0
Logan,2017,2
Logan,2017,0
Logan,2017,6
Room,2015,0
Room,2015,11
Relatos salvajes,2014,10
Relatos salvajes,2014,0
Relatos salvajes,2014,11
Soul,2020,12
Soul,2020,3
Soul,2020,10
Kis Uykusu,2014,0
PK,2014,10
PK,2014,0
PK,2014,18
OMG: Oh My God!,2012,10
OMG: Oh My God!,2012,0
OMG: Oh My God!,2012,9
The Grand Budapest Hotel,2014,3
The Grand Budapest Hotel,2014,10
The Grand Budapest Hotel,2014,1
Gone Girl,2014,0
Gone Girl,2014,15
Gone Girl,2014,11
Ôkami kodomo no Ame to Yuki,2012,12
Ôkami kodomo no Ame to Yuki,2012,0
Ôkami kodomo no Ame to Yuki,2012,9
Hacksaw Ridge,2016,4
Hacksaw Ridge,2016,0
Hacksaw Ridge,2016,5
Inside Out,2015,12
Inside Out,2015,3
Inside Out,2015,10
Barfi!,2012,10
Barfi!,2012,0
Barfi!,2012,7
12 Years a Slave,2013,4
12 Years a Slave,2013,0
12 Years a Slave,2013,5
Rush,2013,2
Rush,2013,4
Rush,2013,0
Ford v Ferrari,2019,2
Ford v Ferrari,2019,4
Ford v Ferrari,2019,0
Spotlight,2015,4
Spotlight,2015,1
Spotlight,2015,0
Song of the Sea,2014,12
Song of the Sea,2014,3
Song of the Sea,2014,0
Kahaani,2012,15
Kahaani,2012,11
Zindagi Na Milegi Dobara,2011,10
Zindagi Na Milegi Dobara,2011,0
Prisoners,2013,1
Prisoners,2013,0
Prisoners,2013,15
Mad Max: Fury Road,2015,2
Mad Max: Fury Road,2015,3
Mad Max: Fury Road,2015,6
A Wednesday,2008,2
A Wednesday,2008,1
A Wednesday,2008,0
Gran Torino,2008,0
Harry Potter and the Deathly Hallows: Part 2,2011,3
Harry Potter and the Deathly Hallows: Part 2,2011,0
Harry Potter and the Deathly Hallows: Part 2,2011,9
Okuribito,2008,0
Okuribito,2008,16
Hachi: A Dog's Tale,2009,4
Hachi: A Dog's Tale,2009,0
Hachi: A Dog's Tale,2009,13
Mary and Max,2009,12
Mary and Max,2009,10
Mary and Max,2009,0
